English,German
"Blackpool (Lancashire, UK)",Blackpool
The Burrow,Der Fuchsbau
Cokeworth,Cokeworth
Diagon Alley,Winkelgasse (angle lane)
Gringotts Wizarding Bank,Gringotts Zaubererbank
Hogsmeade,Hogsmeade
Knockturn Alley,Nokturngasse
Little Whinging,Little Whinging
The Leaky Cauldron,Zum Tropfenden Kessel
Platform Nine and Three-Quarters|Platform 9¾,Gleis neundreiviertel
Privet Drive,Ligusterweg
British Ministry of Magic|Ministry of Magic,Zaubereiministerium
Hogwarts School of Witchcraft and Wizardry,Hogwartsschule für Hexerei und Zauberei
Hogwarts School of Witchcraft and Wizardry|Hogwarts,Hogwarts School of Witchcraft and Wizardry|Hogwarts
